commit	primary_score	recon_rmse	rmse_t100	rmse_t150	memory_gb	wall_seconds	status	description
6b5f1e3	0.031904	1.106713	1.111277	1.119066	9.669	2.2	keep	baseline smoke validation
6b5f1e3	0.031896	1.106068	1.110748	1.119044	9.669	2.2	discard	autoresearch numbering validation
654bbc2	0.027961	0.724065	0.922945	1.109648	9.669	103.4	keep	full baseline nonlinear run
19b9a93	0.024610	0.695563	0.863769	0.922491	9.669	104.8	keep	raw sweep: latent_dim=24
19b9a93	0.026242	0.765166	0.934132	0.966413	9.669	108.3	discard	raw sweep: latent_dim=24, rollout_loss_weight=0.20
19b9a93	0.027935	0.753554	0.953043	1.078014	9.669	109.5	discard	raw sweep: latent_dim=24, dynamics_depth=3
19b9a93	0.024609	0.676526	0.859425	0.932673	9.669	108.8	discard	raw sweep: latent_dim=32
70d586a	0.028337	0.923453	1.023592	0.995766	9.669	103.7	discard	raw sweep: baseline latent_dim=24, dynamics_hidden_dim=96
3cf7f7b	0.023994	0.709584	0.832694	0.892534	9.669	138.5	keep	raw sweep: latent_dim=24, longer training (ae160 dyn200)
3cf7f7b	0.023211	0.714502	0.844911	0.828501	9.669	139.0	keep	raw sweep: latent_dim=24, ae160 dyn260
3cf7f7b	0.029603	0.893663	1.060580	1.073967	9.669	139.0	discard	raw sweep: latent_dim=24, ae160 dyn320
77a8a03	0.000000	0.000000	0.000000	0.000000	0.000	720.0	crash	raw baseline refresh: deterministic seed + rollout-aware dynamics selection
77a8a03	0.023163	0.628368	0.807242	0.882237	2.517	379.4	keep	raw baseline refresh: deterministic seed + rollout-aware dynamics selection (cpu decode fix)
77a8a03	0.024582	0.628861	0.819961	0.973522	2.517	373.0	discard	raw sweep: rollout-aware selection with dyn320
